start_id,end_id,start_date,end_date,subscription_type
59,63,8/30/2013 5:11,8/30/2013 5:22,Subscriber
37,59,8/30/2013 17:03,8/30/2013 17:14,Subscriber
64,42,8/30/2013 18:05,8/30/2013 18:16,Subscriber
64,63,8/30/2013 17:05,8/30/2013 17:16,Customer
59,41,8/30/2013 18:04,8/30/2013 18:16,Subscriber
40,49,8/30/2013 8:02,8/30/2013 8:13,Subscriber
58,46,8/30/2013 11:41,8/30/2013 11:53,Customer
38,35,8/30/2013 16:21,8/30/2013 16:32,Customer
66,48,8/30/2013 15:37,8/30/2013 15:49,Customer
51,49,8/30/2013 18:49,8/30/2013 19:00,Subscriber
55,59,8/30/2013 17:04,8/30/2013 17:16,Customer
42,63,8/30/2013 16:58,8/30/2013 17:10,Subscriber
59,61,8/30/2013 19:07,8/30/2013 19:19,Customer
59,39,8/30/2013 8:32,8/30/2013 8:44,Subscriber
55,42,8/30/2013 10:46,8/30/2013 10:57,Subscriber
55,52,8/30/2013 16:57,8/30/2013 17:08,Subscriber
59,48,8/30/2013 8:02,8/30/2013 8:14,Customer
66,56,8/30/2013 16:51,8/30/2013 17:03,Subscriber
38,53,8/30/2013 14:55,8/30/2013 15:07,Subscriber
54,58,8/30/2013 12:10,8/30/2013 12:21,Subscriber
37,62,8/30/2013 13:59,8/30/2013 14:11,Customer
55,60,8/30/2013 14:19,8/30/2013 14:31,Customer
5,6,8/30/2013 21:12,8/30/2013 21:24,Customer
40,35,8/30/2013 15:26,8/30/2013 15:38,Subscriber
27,22,8/30/2013 7:49,8/30/2013 8:01,Subscriber
42,45,8/30/2013 11:01,8/30/2013 11:13,Customer
9,12,8/30/2013 12:58,8/30/2013 13:10,Subscriber
38,53,8/30/2013 14:55,8/30/2013 15:07,Subscriber
39,62,8/30/2013 15:13,8/30/2013 15:25,Subscriber
49,64,8/30/2013 12:11,8/30/2013 12:23,Subscriber
22,27,8/30/2013 16:36,8/30/2013 16:48,Subscriber
45,44,8/30/2013 22:58,8/30/2013 23:10,Subscriber
33,47,8/30/2013 10:27,8/30/2013 10:40,Customer
55,65,8/30/2013 9:48,8/30/2013 10:00,Subscriber
